债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间
128053,尚荣转债,2019-02-14,072551,100.0,002551,尚荣医疗,4.63,4.88,94.877,126.1,32.91,2019-02-13,1.0624,7.5,2019-02-18,0.5200326348,2019-03-07
113527,维格转债,2019-01-24,754518,100.0,603518,锦泓集团,12.12,9.85,123.0457,136.72,11.11,2019-01-23,4.131,7.46,2019-01-28,0.39536999,2019-02-19
113526,联泰转债,2019-01-23,754797,100.0,603797,联泰环保,6.64,5.92,112.1622,249.89,122.79,2019-01-22,1.828,3.9,2019-01-25,0.14607472,2019-02-18
127010,平银转债,2019-01-21,070001,100.0,000001,平安银行,,,,,,2019-01-18,1.5142,260.0,2019-01-23,0.0449482568,2019-02-18
127009,冰轮转债,2019-01-14,070811,100.0,000811,冰轮环境,,,,,,2019-01-11,0.7796,5.0913,2019-01-16,0.141276623856,2019-02-21
128052,凯龙转债,2018-12-21,072783,100.0,002783,凯龙股份,,,,,,2018-12-20,0.9849,3.288548,2018-12-25,1.4421909747,2019-01-21
123018,溢利转债,2018-12-20,370381,100.0,300381,溢多利,9.88,8.25,119.7576,182.372,52.28,2018-12-19,1.6348,6.649677,2018-12-24,2.3484938968,2019-01-23
110050,佳都转债,2018-12-19,733728,100.0,600728,佳都科技,,,,,,2018-12-18,0.54,8.74723,2018-12-21,2.35026973,2019-01-21
110049,海尔转债,2018-12-18,733690,100.0,600690,海尔智家,,,,,,2018-12-17,0.493,30.0749,2018-12-20,0.03930317,2019-01-18
113525,台华转债,2018-12-17,754055,100.0,603055,台华新材,18.77,7.78,241.2596,247.93,2.76,2018-12-14,0.973,5.33,2018-12-19,0.42144701,2019-01-11
113524,奇精转债,2018-12-14,754677,100.0,603677,奇精机械,11.02,13.98,78.8269,110.29,39.91,2018-12-13,1.682,3.3,2018-12-18,0.57410425,2019-01-07
128051,光华转债,2018-12-14,072741,100.0,002741,光华科技,,,,,,2018-12-13,0.6661,2.493,2018-12-18,0.4370698959,2019-01-09
128050,钧达转债,2018-12-10,072865,100.0,002865,钧达股份,43.9,14.8,296.6216,299.0,0.8,2018-12-07,2.6298,3.2,2018-12-12,0.8560442402,2018-12-27
113523,伟明转债,2018-12-10,754568,100.0,603568,伟明环保,,,,,,2018-12-07,0.974,6.7,2018-12-12,0.34843949,2018-12-26
110048,福能转债,2018-12-07,733483,100.0,600483,福能股份,17.88,7.85,227.7707,231.01,1.42,2018-12-06,1.823,28.3,2018-12-11,0.19595459,2018-12-28
128049,华源转债,2018-11-27,072787,100.0,002787,华源控股,5.42,7.37,73.5414,106.249,44.48,2018-11-26,1.3052,4.0,2018-11-29,0.952148336,2018-12-20
113522,旭升转债,2018-11-22,754305,100.0,603305,旭升股份,,,,,,2018-11-21,1.048,4.2,2018-11-26,0.317543,2018-12-11
110047,山鹰转债,2018-11-21,733567,100.0,600567,山鹰国际,3.25,3.3,98.4848,116.47,18.26,2018-11-20,0.503,23.0,2018-11-23,0.49667669,2018-12-10
110046,圆通转债,2018-11-20,733233,100.0,600233,圆通速递,,,,,,2018-11-19,1.289,36.5,2018-11-22,0.20843998,2018-12-18
123017,寒锐转债,2018-11-20,370618,100.0,300618,寒锐钴业,,,,,,2018-11-19,2.2916,4.4,2018-11-22,0.3721591008,2018-12-24
113020,桐昆转债,2018-11-19,783233,100.0,601233,桐昆股份,,,,,,2018-11-16,2.085,38.0,2018-11-21,0.19196912,2018-12-12
127008,特发转债,2018-11-16,070070,100.0,000070,特发信息,,,,,,2018-11-15,0.6689,4.194,2018-11-20,0.1677083789,2018-12-25
113521,科森转债,2018-11-16,754626,100.0,603626,科森科技,,,,,,2018-11-15,1.467,6.1,2018-11-20,0.32887409,2018-12-07
128048,张行转债,2018-11-12,072839,100.0,002839,张家港行,5.92,5.6,105.7143,124.3,17.58,2018-11-09,1.3831,25.0,2018-11-14,0.3569710111,2018-11-29
113520,百合转债,2018-11-08,754313,100.0,603313,梦百合,,,,,,2018-11-07,2.125,5.1,2018-11-12,0.20363829,2018-11-26
113519,长久转债,2018-11-07,754569,100.0,603569,长久物流,6.28,11.04,56.8841,106.26,86.8,2018-11-06,1.249,7.0,2018-11-09,0.4128490065,2018-11-30
123016,洲明转债,2018-11-07,370232,100.0,300232,洲明科技,,,,,,2018-11-06,0.7199,5.480346,2018-11-09,0.3063894918,2018-12-03
128047,光电转债,2018-11-05,072179,100.0,002179,中航光电,,,,,,2018-11-02,1.6436,13.0,2018-11-07,0.0717898426,2018-12-07
128046,利尔转债,2018-10-17,072258,100.0,002258,利尔化学,23.9,18.42,129.7503,141.55,9.09,2018-10-16,1.6247,8.52,2018-10-19,0.183557581,2018-11-09
113518,顾家转债,2018-09-12,754816,100.0,603816,顾家家居,,,,,,2018-09-11,2.564,10.9731,2018-09-14,0.7513857,2018-10-09
128045,机电转债,2018-08-27,072013,100.0,002013,中航机电,,,,,,2018-08-24,0.5819,21.0,2018-08-29,0.1194692841,2018-09-14
128044,岭南转债,2018-08-14,072717,100.0,002717,岭南股份,3.0,5.59,53.6673,100.8,87.82,2018-08-13,0.6542,6.6,2018-08-16,0.8721686997,2018-09-04
123015,蓝盾转债,2018-08-13,370297,100.0,300297,蓝盾股份,3.41,5.79,58.8946,224.26,280.78,2018-08-10,0.4578,5.38,2018-08-15,1.2723052265,2018-09-13
113517,曙光转债,2018-08-06,754019,100.0,603019,中科曙光,,,,,,2018-08-03,1.741,11.2,2018-08-08,1.93242237,2018-08-23
